# ,,,,,,,,,,
# FOFEM Mortality Species Equation File ,,,,,,,,,,
# Sep 11 2018,,,,,,,,,,
# This file is used in conjunction with the FOFEM tree mortality option,,,,,,,,,,
# Seq = Sequence number - helps order file ,,,,,,,,,,
# Species = Species code,,,,,,,,,,
# Sci-Name = Scientific name,,,,,,,,,,
# Com-Name = Common name,,,,,,,,,,
# Mort = Mortality equation identifiers,,,,,,,,,,
#           Crown Scorch Equations (CRNSCH):   1 -> 99,,,,,,,,,,
#           Bole Char Equations (BOLCHR):   100->110,,,,,,,,,,
#           Crown Damage/Cambium/Beetle Equations (CRCABE):   2 alpha characters,,,,,,,,,,
# Brk  = Bark Equation,,,,,,,,,,
# Crn  = Crown Coefficient code used to calculate stand canopy cover,,,,,,,,,,
# Reg  = Region,,,,,,,,,,
#            IW -   Interior West,,,,,,,,,,
#            PW - Pacific West,,,,,,,,,,
#            NE - North East,,,,,,,,,,
#            SE - South East,,,,,,,,,,
# ,,,,,,,,,,
#Seq,Species,Sci-Name,Com-Name, Mort,Brk,Crn,IW,PW,NE,SE
1900,DIVIP3,Diospyros virginiana,Persimmon,1,20,39,-1,-1,3,4
1910,DIVIV4,Diospyros virginiana,Persimmon,1,20,39,-1,-1,3,4
1920,FAGR,Fagus grandifolia,American beech,1,4,39,-1,-1,3,4
1930,FAGRH,Fagus grandifolia,American beech,1,4,39,-1,-1,3,4
1940,FAGRC,Fagus grandifolia,American beech,1,4,39,-1,-1,3,4
1950,FRAM2,Fraxinus americana,White ash,1,21,39,-1,-1,3,4
1960,FRAMB,Fraxinus americana,White ash,1,21,39,-1,-1,3,4
1970,FRAMC,Fraxinus americana,White ash,1,21,39,-1,-1,3,4
1980,FRAMC2,Fraxinus americana,White ash,1,21,39,-1,-1,3,4
1990,FRAMJ,Fraxinus americana,White ash,1,21,39,-1,-1,3,4
2000,FRAMM,Fraxinus americana,White ash,1,21,39,-1,-1,3,4
2010,FRNI,Fraxinus nigra,Black ash,1,14,39,-1,-1,3,4
2020,FRPE,Fraxinus pennsylvanica,Green ash,1,18,39,-1,-1,3,4
2030,FRPEA,Fraxinus pennsylvanica,Green ash,1,18,39,-1,-1,3,4
2040,FRPEI,Fraxinus pennsylvanica,Green ash,1,18,39,-1,-1,3,4
2050,FRPEL,Fraxinus pennsylvanica,Green ash,1,18,39,-1,-1,3,4
2060,FRPES,Fraxinus pennsylvanica,Green ash,1,18,39,-1,-1,3,4
2070,FRPR,Fraxinus profunda,Pumpkin ash,1,16,39,-1,-1,3,4
2080,FRQU,Fraxinus quadrangulata,Blue ash,1,9,39,-1,-1,3,4
2090,FRASPP,Fraxinus species,Ashes,1,21,39,-1,-1,3,4
2100,GLTR,Gleditsia triacanthos,Honeylocust,1,17,39,-1,-1,3,4
2110,GLTRI,Gleditsia triacanthos,Honeylocust,1,17,39,-1,-1,3,4
2120,GOLA,Gordonia lasianthus,Loblolly bay,1,17,39,-1,-1,-1,4
2130,GYDI,Gymnocladus dioicus,Kentucky coffeetree,1,10,39,-1,-1,3,4
2140,HALSPP,Halesia species,Silverbells,1,17,39,-1,-1,-1,4
2150,ILOP,Ilex opaca,American holly,1,21,39,-1,-1,3,4
2160,ILOPA,Ilex opaca,American holly,1,21,39,-1,-1,3,4
2170,ILOPO,Ilex opaca,American holly,1,21,39,-1,-1,3,4
2180,JUCI,Juglans cinerea,Butternut,1,20,39,-1,-1,3,4
2190,JUNI,Juglans nigra,Black walnut,1,20,39,-1,-1,3,4
2200,JUOC,Juniperus occidentalis,Western juniper,1,24,29,-1,2,-1,-1
2210,JUOCO,Juniperus occidentalis,Western juniper,1,24,29,-1,2,-1,-1
2220,JUNSPP,Juniperus species,Junipers/Redcedars,1,19,29,-1,-1,3,4
2230,JUVI,Juniperus virginiana,Eastern redcedar,1,19,18,-1,-1,3,4
2240,JUVIS,Juniperus virginiana,Eastern redcedar,1,19,18,-1,-1,3,4
2250,JUVIS3,Juniperus virginiana,Eastern redcedar,1,19,18,-1,-1,3,4
2260,JUVIS,Juniperus virginiana,Southern redcedar,1,19,18,-1,-1,3,4
2270,JUVIV,Juniperus virginiana,Southern redcedar,1,19,18,-1,-1,3,4
2280,JUVIC,Juniperus virginiana,Eastern redcedar,1,19,18,-1,-1,3,4
2290,JUVIC2,Juniperus virginiana,Eastern redcedar,1,19,18,-1,-1,3,4
2300,LALA,Larix laricina,Tamarack,1,10,14,-1,-1,3,4
2310,LALAA9,Larix laricina,Tamarack,1,10,14,-1,-1,3,4
2320,LALAA5,Larix laricina,Tamarack,1,10,14,-1,-1,3,4
2330,LALY,Larix lyallii,Subalpine Larch,1,29,30,-1,2,-1,-1
2340,LAOC,Larix occidentalis,Western Larch,14,36,14,1,2,-1,-1
2350,LAOC,Larix occidentalis,Western Larch,WL,36,14,1,2,-1,-1
2360,CADE27,Calocedrus decurrens,Incense-cedar,12,34,18,-1,2,-1,-1
2370,CADE27,Calocedrus decurrens,Incense-cedar,IC,34,18,-1,2,-1,-1
2380,LIDE,Libocedrus decurrens,Incense-cedar,12,34,18,-1,2,-1,-1
2390,LIDE,Libocedrus decurrens,Incense-cedar,IC,34,18,-1,2,-1,-1
2400,LIST2,Liquidambar styraciflua,Sweetgum,1,34,39,-1,-1,3,4
2410,LITU,Liriodendron tulipifera,Tuliptree,1,29,39,-1,-1,3,4
2420,LIDE3,Lithocarpus densiflorus,Tanoak,1,30,39,-1,2,-1,-1
2430,LIDED2,Lithocarpus densiflorus,Tanoak,1,30,39,-1,2,-1,-1
2440,LIDEE,Lithocarpus densiflorus,Tanoak,1,30,39,-1,2,-1,-1
2450,MAPO,Maclura pomifera,Osage-orange,1,16,39,-1,-1,-1,4
2460,MAAC,Magnolia acuminata,Cucumber-tree,1,15,39,-1,-1,3,4
2470,MAACC2,Magnolia acuminata,Cucumber-tree,1,15,39,-1,-1,3,4
2480,MAACO,Magnolia acuminata,Cucumber-tree,1,15,39,-1,-1,3,4
2490,MAACS,Magnolia acuminata,Cucumber-tree,1,15,39,-1,-1,3,4
2500,MAGR4,Magnolia grandiflora,Southern magnolia,1,12,39,-1,-1,-1,4
2510,MAMA2,Magnolia macrophylla,Bigleaf magnolia,1,12,39,-1,-1,-1,4
2520,MAGSPP,Magnolia species,Magnolias,1,18,39,-1,-1,3,4
2530,MAVI2,Magnolia virginiana,Sweetbay,1,19,39,-1,-1,3,4
2540,MAVIT2,Magnolia virginiana,Sweetbay,1,19,39,-1,-1,3,4
2550,MAVIA2,Magnolia virginiana,Sweetbay,1,19,39,-1,-1,3,4
